model,split,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,ntrain,ntest
MLP,C1,0.31362095983460386,0.14720502690904705,11.736914538784918,1.231371650480888,9.32270878187467,0.8548250461740091,566,464
MLP,C2,0.16119658384871058,0.05751711531001376,15.944947635086521,0.5518519491449584,12.961774793608667,0.5614430215804586,471,559
MLP,C3,0.08229336179729152,0.272188342430978,15.8842466610336,2.2977296026763767,12.435388101124671,1.5453956083509055,379,651
MLP,random,0.7270333299979943,0.17292059205192012,8.356677066483353,2.73745622554971,6.616039509861829,2.6068808065418296,721,155
RF,A1,0.3381585455963047,0.0012114667414072776,10.371780026039069,0.009494705721367569,9.351898857560569,0.00893717944902969,749,190
RF,A2,-0.17686105941259025,0.013164708023785993,15.94009881294719,0.08902400684371835,13.888302961234407,0.1035443179329312,260,425
RF,A3-14,-0.37042718463979946,0.017792440520001025,10.030108613569348,0.06501136204330026,9.061885478750638,0.047394213590479926,968,62
RF,A3-180+,0.7505870549770708,0.007597147334437255,5.251221270901573,0.08015310328409667,4.13963248587572,0.0586468202568354,971,59
RF,A3-28,0.35837907252851764,0.014881123113243834,11.769355903727003,0.13657275438091612,9.215275501416121,0.0881414787799007,605,425
RF,A3-3,-0.10221312189278686,0.03247814978878279,10.317758375828127,0.15169531248761442,9.289238853403539,0.1433557914325051,894,136
RF,A3-56,0.7309579759195363,0.002733390474666013,7.380781563111459,0.03749458711426192,6.608781259593594,0.03805810369300967,939,91
RF,A3-7,0.5495826320166715,0.003934667258939773,9.748431015161593,0.04253912898484796,8.054693878495835,0.03744087659475018,904,126
RF,A3-90,0.8420843702577777,0.0038816694507700943,5.342655450214213,0.06572712786177887,4.380656273476321,0.06565975263337825,899,131
RF,C1,0.5682630007037268,0.0027998631696727412,9.342597994273666,0.030295076507044723,7.551975420771764,0.03422165664638988,566,464
RF,C2,0.3175529676726401,0.004947132784017256,14.387949831165187,0.05209689893647933,11.86715998211091,0.0406661959287956,471,559
RF,C3,0.08670310621471851,0.011444038870210406,15.955972432562051,0.09979382007086277,12.87800634408601,0.07297745199820349,379,651
RF,random,0.8910954417247594,0.026943022669607967,5.395244276891874,0.45990348633023453,3.7824471779313917,0.29274025614062615,721,155
XGB,A1,0.3863273317446396,0.0023282364878418984,9.987212831191908,0.018953334782818767,9.01517965738397,0.004200064369837534,749,190
XGB,A2,0.01217364170881067,0.009401522694935851,14.60393690711444,0.06957078546343945,12.580956327580472,0.10976095137357289,260,425
XGB,A3-14,0.5079376235829418,0.13788994292340762,5.967516458198669,0.8764116827020276,5.30581620698334,0.9044465569475801,968,62
XGB,A3-180+,0.8783174154985939,0.011099161312870916,3.665552904434609,0.16948477631259218,2.944437860176388,0.15468285440177107,971,59
XGB,A3-28,0.41417682162804575,0.032002442123229974,11.24370246432575,0.305517889300523,8.93610557571112,0.2904594488943502,605,425
XGB,A3-3,-0.14293080005202233,0.08140535409168688,10.502856541570436,0.37694648963226657,9.490335853894551,0.4165022228296576,894,136
XGB,A3-56,0.7369613071531594,0.0014235172742858317,7.298015555141145,0.019763113815765513,6.634023728702531,0.011723565823147567,939,91
XGB,A3-7,0.5609882029970423,0.00433193804633083,9.624196389920975,0.047550775009898676,7.907622254134485,0.15603824990232015,904,126
XGB,A3-90,0.8860953760151343,0.002448007085211613,4.537539247219218,0.048883161522456156,3.624520535651054,0.02865680690155571,899,131
XGB,C1,0.6667695086373752,0.014768343389901713,8.206542494444035,0.1826439331778982,6.401794442883854,0.12518547067182295,566,464
XGB,C2,0.4345777860661606,0.029296234873415896,13.093485505511929,0.3398395579434153,10.639156715208815,0.3289206188977235,471,559
XGB,C3,0.3346479009615557,0.042684573257364536,13.614346068657541,0.4411254521945818,10.574882111107454,0.430338517256257,379,651
XGB,random,0.918627885120174,0.016379418083654423,4.673612432932429,0.34459418778467094,3.0830472176254435,0.12246644203381568,721,155
