age,rf_all_ages,rf_age_le28
69,46.63861485748959,38.19375199884419
70,46.638614857489586,38.19375199884419
71,46.63861485748959,38.19375199884419
72,46.63861485748959,38.19375199884419
73,46.63861485748959,38.19375199884419
74,47.09132295457698,38.19375199884419
75,47.09132295457698,38.19375199884419
76,47.091322954576974,38.19375199884419
77,47.091322954576974,38.19375199884419
78,47.09132295457698,38.19375199884419
79,47.6987774853213,38.19375199884419
80,47.6987774853213,38.19375199884419
81,47.6987774853213,38.19375199884419
82,47.6987774853213,38.19375199884419
83,47.6987774853213,38.19375199884419
84,47.6987774853213,38.19375199884419
85,47.6987774853213,38.19375199884419
86,47.6987774853213,38.19375199884419
87,47.6987774853213,38.19375199884419
88,47.6987774853213,38.19375199884419
89,47.6987774853213,38.19375199884419
90,47.6987774853213,38.19375199884419
91,47.71650301930188,38.19375199884419
92,47.71650301930189,38.19375199884419
93,47.71650301930188,38.19375199884419
94,47.71650301930188,38.19375199884419
95,47.71650301930188,38.19375199884419
96,48.193355737748476,38.19375199884419
97,48.19413719405916,38.19375199884419
98,48.19413719405916,38.19375199884419
99,48.19413719405916,38.19375199884419
100,48.19413719405916,38.19375199884419
101,48.19413719405917,38.19375199884419
102,48.19413719405916,38.19375199884419
103,48.19413719405916,38.19375199884419
104,48.20105243677761,38.19375199884419
105,48.23557379600091,38.19375199884419
106,48.23557379600091,38.19375199884419
107,48.23557379600091,38.19375199884419
108,48.23557379600091,38.19375199884419
109,48.23557379600091,38.19375199884419
110,48.23306277658344,38.19375199884419
111,48.23306277658344,38.19375199884419
112,48.23306277658344,38.19375199884419
113,48.23306277658344,38.19375199884419
114,48.23306277658344,38.19375199884419
115,48.23306277658344,38.19375199884419
116,48.23306277658344,38.19375199884419
117,48.23306277658344,38.19375199884419
118,48.23552510668052,38.19375199884419
119,48.23552510668052,38.19375199884419
120,48.23552510668052,38.19375199884419
121,48.23552510668052,38.19375199884419
122,48.23552510668052,38.19375199884419
123,48.23552510668052,38.19375199884419
124,48.23552510668052,38.19375199884419
125,48.23552510668052,38.19375199884419
126,48.23552510668052,38.19375199884419
127,48.23552510668053,38.19375199884419
128,48.23552510668052,38.19375199884419
129,48.23552510668052,38.19375199884419
130,48.23552510668052,38.19375199884419
131,48.23552510668052,38.19375199884419
132,48.23552510668052,38.19375199884419
133,48.23552510668052,38.19375199884419
134,48.23552510668052,38.19375199884419
135,48.410362363962086,38.19375199884419
136,48.41006615036985,38.19375199884419
137,48.41006615036985,38.19375199884419
138,48.41006615036985,38.19375199884419
139,48.41006615036985,38.19375199884419
140,48.397233043573735,38.19375199884419
141,48.397233043573735,38.19375199884419
142,48.397233043573735,38.19375199884419
143,48.397233043573735,38.19375199884419
144,48.397233043573735,38.19375199884419
145,48.397233043573735,38.19375199884419
146,48.397233043573735,38.19375199884419
147,48.397233043573735,38.19375199884419
148,48.397233043573735,38.19375199884419
149,48.40957673289412,38.19375199884419
150,48.38500081056403,38.19375199884419
151,48.38500081056403,38.19375199884419
152,48.38500081056403,38.19375199884419
153,48.38500081056402,38.19375199884419
154,48.38500081056403,38.19375199884419
155,48.38500081056403,38.19375199884419
156,48.38500081056403,38.19375199884419
157,48.38500081056403,38.19375199884419
158,48.38500081056403,38.19375199884419
159,48.38500081056402,38.19375199884419
160,48.38500081056402,38.19375199884419
161,48.38500081056403,38.19375199884419
162,48.38500081056402,38.19375199884419
163,48.38469974260286,38.19375199884419
164,48.38469974260286,38.19375199884419
165,48.38469974260286,38.19375199884419
166,48.38469974260286,38.19375199884419
167,48.38469974260286,38.19375199884419
168,48.38469974260286,38.19375199884419
169,48.38469974260286,38.19375199884419
170,48.38469974260286,38.19375199884419
171,48.38469974260286,38.19375199884419
172,48.38469974260286,38.19375199884419
173,48.38469974260286,38.19375199884419
174,48.38469974260286,38.19375199884419
175,48.38469974260286,38.19375199884419
176,48.38469974260286,38.19375199884419
177,48.38469974260286,38.19375199884419
178,48.38469974260286,38.19375199884419
179,48.38469974260286,38.19375199884419
180,48.38469974260286,38.19375199884419
181,48.45705163580675,38.19375199884419
182,48.45705163580675,38.19375199884419
183,48.45705163580675,38.19375199884419
184,48.45705163580675,38.19375199884419
185,48.45705163580675,38.19375199884419
186,48.45754653871937,38.19375199884419
187,48.45754653871937,38.19375199884419
188,48.45754653871937,38.19375199884419
189,48.45754653871937,38.19375199884419
190,48.45754653871937,38.19375199884419
191,48.45754653871937,38.19375199884419
192,48.45754653871937,38.19375199884419
193,48.45754653871937,38.19375199884419
194,48.46127906299121,38.19375199884419
195,48.46127906299121,38.19375199884419
196,48.46127906299121,38.19375199884419
197,48.46328930570966,38.19375199884419
198,48.46328930570966,38.19375199884419
199,48.46328930570966,38.19375199884419
200,48.46328930570966,38.19375199884419
201,48.46328930570966,38.19375199884419
202,48.46328930570966,38.19375199884419
203,48.46328930570966,38.19375199884419
204,48.46328930570966,38.19375199884419
205,48.46328930570966,38.19375199884419
206,48.46328930570966,38.19375199884419
207,48.46328930570966,38.19375199884419
208,48.46351624745723,38.19375199884419
209,48.46351624745723,38.19375199884419
210,48.46351624745723,38.19375199884419
211,48.463261684350435,38.19375199884419
212,48.463261684350435,38.19375199884419
213,48.463261684350435,38.19375199884419
214,48.463261684350435,38.19375199884419
215,48.463261684350435,38.19375199884419
216,48.463261684350435,38.19375199884419
217,48.463261684350435,38.19375199884419
218,48.463261684350435,38.19375199884419
219,48.463261684350435,38.19375199884419
220,48.463261684350435,38.19375199884419
221,48.463261684350435,38.19375199884419
222,48.463261684350435,38.19375199884419
223,48.463261684350435,38.19375199884419
224,48.463261684350435,38.19375199884419
225,48.69582207269993,38.19375199884419
226,48.69582207269994,38.19375199884419
227,48.69582207269993,38.19375199884419
228,48.71652493677761,38.19375199884419
229,48.71652493677761,38.19375199884419
230,48.716224791146544,38.19375199884419
231,48.71622479114654,38.19375199884419
232,48.71622479114654,38.19375199884419
233,48.71622479114654,38.19375199884419
234,48.71622479114654,38.19375199884419
235,48.71622479114654,38.19375199884419
236,48.71622479114654,38.19375199884419
237,48.71622479114654,38.19375199884419
238,48.716224791146544,38.19375199884419
239,48.71622479114654,38.19375199884419
